Municipi;Provincia;total censo;total votos;blancos;nulos;PSC;CiU;ICV-EUiA;ERC;SI;C s;CUP;P.P.;Otros;participacion;abstencion;validos
Granyena de Segarra;Lleida;126;90;5;1;3;57;1;9;2;2;1;8;1;71;29;84
Guimerà;Lleida;265;212;2;0;2;138;8;32;2;1;7;15;5;80;20;210
Guingueta d`Àneu, la;Lleida;246;180;1;0;8;93;17;41;1;0;12;7;0;73;27;179
Guissona;Lleida;2676;1944;44;10;178;851;98;488;28;37;49;131;30;73;27;1890
Guixers;Lleida;115;90;1;0;2;59;2;12;1;0;4;3;6;78;22;89
Isona i Conca Dellà;Lleida;860;629;20;8;35;372;14;109;12;8;15;33;3;73;27;601
Ivars d`Urgell;Lleida;1200;935;27;11;62;453;29;222;34;10;22;55;10;78;22;897
Ivars de Noguera;Lleida;287;202;3;2;16;108;9;35;3;4;2;15;5;70;30;197
Ivorra;Lleida;101;87;1;0;0;58;0;22;2;0;1;2;1;86;14;86
Josa i Tuixén;Lleida;122;91;0;0;4;42;3;27;9;1;2;3;0;75;25;91
Juncosa;Lleida;364;262;6;4;13;148;5;42;1;4;5;31;3;72;28;252
Juneda;Lleida;2288;1752;39;23;134;893;62;400;30;14;41;92;24;77;23;1690
Les;Lleida;607;404;13;13;114;103;22;32;4;15;5;70;13;67;33;378
Linyola;Lleida;1936;1439;57;18;82;649;73;336;42;22;48;101;11;74;26;1364
Lladorre;Lleida;207;158;2;1;4;82;7;40;4;0;12;5;1;76;24;155
Lladurs;Lleida;165;109;5;0;3;60;4;20;3;2;5;7;0;66;34;104
Llardecans;Lleida;447;338;4;6;19;143;9;109;3;3;3;33;6;76;24;328
Llavorsí;Lleida;294;218;6;2;15;87;18;54;0;3;14;16;3;74;26;210
Lleida;Lleida;91102;59960;1226;694;8778;19157;4321;7738;662;3684;1566;9894;2240;66;34;58040
Lles de Cerdanya;Lleida;227;178;0;1;10;103;7;44;6;0;3;2;2;78;22;177
Llimiana;Lleida;146;95;1;0;4;53;5;23;0;1;6;1;1;65;35;94
Llobera;Lleida;178;141;7;2;1;80;4;29;1;1;11;3;2;79;21;132
Maials;Lleida;749;565;8;3;30;342;14;104;8;6;6;38;6;75;25;554
Maldà;Lleida;201;145;6;0;11;82;5;27;2;0;5;6;1;72;28;139
Massalcoreig;Lleida;428;325;2;2;44;162;20;57;1;2;0;25;10;76;24;321
Massoteres;Lleida;126;102;1;3;5;51;1;23;0;5;4;4;5;81;19;98
Menàrguens;Lleida;645;461;4;1;40;241;19;85;1;4;21;39;6;71;29;456
Miralcamp;Lleida;1079;787;23;10;76;418;34;139;5;13;18;42;9;73;27;754
Mollerussa;Lleida;8432;5857;108;54;560;2793;299;907;79;151;171;555;180;69;31;5695
Molsosa, la;Lleida;104;93;1;0;0;46;8;13;6;1;4;10;4;89;11;92
Montellà i Martinet;Lleida;545;419;6;1;25;213;21;83;10;10;19;23;8;77;23;412
Montferrer i Castellbò;Lleida;764;535;7;15;35;272;26;96;7;11;27;29;10;70;30;513
Montgai;Lleida;594;443;16;5;24;221;5;104;9;4;12;40;3;75;25;422
Montoliu de Lleida;Lleida;383;297;5;1;14;109;13;112;5;3;7;22;6;78;22;291
Montoliu de Segarra;Lleida;173;122;5;1;5;57;7;31;3;3;6;3;1;71;29;116
Montornès de Segarra;Lleida;87;69;1;0;6;40;3;9;2;1;0;7;0;79;21;68
Nalec;Lleida;92;73;2;0;1;43;1;21;0;0;1;3;1;79;21;71
Naut Aran;Lleida;1317;844;34;20;116;321;42;51;1;50;14;163;32;64;36;790
Navès;Lleida;216;165;2;0;4;89;4;35;1;0;10;17;3;76;24;163
Odèn;Lleida;230;176;1;0;1;115;2;41;1;0;4;11;0;77;23;175
Oliana;Lleida;1403;1144;13;18;88;644;42;178;12;12;33;96;8;82;18;1113
Oliola;Lleida;192;145;6;2;3;98;2;23;2;1;4;3;1;76;24;137
Olius;Lleida;653;502;6;3;17;270;22;108;7;11;12;41;5;77;23;493
Oluges, les;Lleida;155;101;3;1;4;59;4;18;2;0;1;5;4;65;35;97
Omellons, els;Lleida;206;148;7;1;9;45;2;36;3;5;0;37;3;72;28;140
Omells de na Gaia, els;Lleida;126;85;2;0;5;47;1;12;1;0;6;7;4;67;33;83
Organyà;Lleida;704;538;13;1;36;303;21;87;3;7;9;49;9;76;24;524
Os de Balaguer;Lleida;763;580;11;1;43;278;41;117;7;13;16;42;11;76;24;568
Ossó de Sió;Lleida;186;127;2;1;13;72;2;15;2;2;2;12;4;68;32;124
Palau d`Anglesola, el;Lleida;1643;1240;33;23;50;673;49;249;17;20;30;71;25;75;25;1184
Penelles;Lleida;399;283;5;3;16;173;7;56;2;3;0;16;2;71;29;275
Peramola;Lleida;291;226;5;1;14;130;8;36;1;0;10;17;4;78;22;220
Pinell de Solsonès;Lleida;179;131;1;1;3;65;1;42;2;0;2;12;2;73;27;129
Pinós;Lleida;244;194;2;3;0;117;6;32;2;1;13;17;1;80;20;189
Plans de Sió, els;Lleida;465;344;17;2;9;194;7;82;4;4;7;13;5;74;26;325
Poal, el;Lleida;505;402;44;4;11;140;12;106;10;4;13;53;5;80;20;354
Pobla de Cérvoles, la;Lleida;195;146;0;0;8;73;10;27;5;0;12;10;1;75;25;146
