Municipi;Provincia;total censo;total votos;blancos;nulos;PSC;CiU;ICV-EUiA;ERC;SI;C s;CUP;P.P.;Otros;participacion;abstencion;validos
Pobla de Segur, la;Lleida;2253;1661;14;16;162;790;90;387;25;18;62;74;23;74;26;1631
Pont de Bar, el;Lleida;147;103;2;0;1;66;5;18;2;1;6;1;1;70;30;101
Pont de Suert, el;Lleida;1748;1139;27;26;230;381;81;144;15;43;45;108;39;65;35;1086
Ponts;Lleida;1836;1429;15;14;78;737;36;314;28;18;32;121;36;78;22;1400
Portella, la;Lleida;421;322;2;4;31;184;11;53;2;6;5;22;2;76;24;316
Prats i Sansor;Lleida;221;165;1;0;3;97;8;23;7;2;3;17;4;75;25;164
Preixana;Lleida;333;259;8;2;6;129;5;46;5;4;12;30;12;78;22;249
Preixens;Lleida;377;279;0;0;14;123;11;48;2;8;13;30;30;74;26;279
Prullans;Lleida;183;154;1;0;6;96;4;30;3;0;6;7;1;84;16;153
Puiggròs;Lleida;243;167;3;0;12;104;5;29;1;0;2;9;2;69;31;164
Puigverd d`Agramunt;Lleida;193;147;2;4;13;65;5;29;1;3;9;14;2;76;24;141
Puigverd de Lleida;Lleida;1082;783;13;9;121;267;49;151;8;27;35;96;7;72;28;761
Rialp;Lleida;495;388;7;8;34;188;24;79;5;0;14;21;8;78;22;373
Ribera d`Ondara;Lleida;366;280;7;6;10;150;9;49;5;3;2;36;3;77;23;267
Ribera d`Urgellet;Lleida;694;480;13;3;28;256;37;77;9;12;14;24;7;69;31;464
Riner;Lleida;230;182;5;1;3;100;2;38;2;3;18;10;0;79;21;176
Riu de Cerdanya;Lleida;101;89;0;0;1;59;2;17;4;2;1;3;0;88;12;89
Rosselló;Lleida;2082;1326;28;17;126;516;140;234;30;54;21;113;47;64;36;1281
Salàs de Pallars;Lleida;285;217;5;4;19;102;12;43;1;4;17;7;3;76;24;208
Sanaüja;Lleida;343;239;2;4;15;121;6;46;3;0;10;30;2;70;30;233
Sant Esteve de la Sarga;Lleida;121;83;1;2;4;51;5;7;4;0;4;5;0;69;31;80
Sant Guim de Freixenet;Lleida;786;595;15;8;23;297;25;128;18;4;17;46;14;76;24;572
Sant Guim de la Plana;Lleida;150;121;2;0;6;68;2;31;1;2;6;3;0;81;19;119
Sant Llorenç de Morunys;Lleida;766;602;9;2;24;343;21;126;6;8;35;26;2;79;21;591
Sant Martí de Riucorb;Lleida;582;452;8;7;7;207;10;95;5;2;18;78;15;78;22;437
Sant Ramon;Lleida;441;334;9;4;8;202;7;47;11;4;8;30;4;76;24;321
Sarroca de Bellera;Lleida;119;90;2;3;6;48;3;10;3;1;7;4;3;76;24;85
Sarroca de Lleida;Lleida;348;258;7;0;14;132;7;75;4;1;9;6;3;74;26;251
Senterada;Lleida;104;75;1;1;8;21;6;27;0;1;2;6;2;72;28;73
Sentiu de Sió, la;Lleida;410;289;4;4;21;139;15;53;3;8;9;26;7;70;30;281
Seròs;Lleida;1293;940;33;9;100;429;26;211;22;4;13;70;23;73;27;898
Seu d`Urgell, la;Lleida;9009;5875;94;72;720;2345;401;864;92;172;279;710;126;65;35;5709
Sidamon;Lleida;558;421;10;14;24;177;32;67;3;7;15;61;11;75;25;397
Soleràs, el;Lleida;278;212;4;1;12;119;5;55;1;0;5;6;4;76;24;207
Solsona;Lleida;6183;4374;65;34;342;1888;183;1191;60;52;166;270;123;71;29;4275
Soriguera;Lleida;290;202;1;1;19;92;11;36;3;4;18;12;5;70;30;200
Sort;Lleida;1520;1110;17;26;100;493;54;212;10;35;80;70;13;73;27;1067
Soses;Lleida;1142;835;13;16;85;439;36;153;10;8;9;64;2;73;27;806
Sudanell;Lleida;692;442;9;3;27;205;29;89;7;8;17;30;18;64;36;430
Sunyer;Lleida;227;177;10;2;7;104;4;23;2;3;4;14;4;78;22;165
Talarn;Lleida;426;241;1;1;15;95;16;50;2;13;13;29;6;57;43;239
Talavera;Lleida;242;195;8;3;1;114;9;32;4;2;4;17;1;81;19;184
Tàrrega;Lleida;10593;7387;142;60;614;3561;357;1247;218;133;282;611;162;70;30;7185
Tarrés;Lleida;90;79;2;0;1;53;0;18;0;0;2;2;1;88;12;77
Tarroja de Segarra;Lleida;145;120;0;0;1;44;8;29;6;2;12;13;5;83;17;120
Térmens;Lleida;1052;753;3;2;43;373;27;178;11;6;11;83;16;72;28;748
Tírvia;Lleida;134;92;0;1;6;38;6;29;1;1;6;4;0;69;31;91
Tiurana;Lleida;67;62;2;1;0;39;1;9;0;2;1;7;0;93;7;59
Torà;Lleida;953;725;17;13;24;379;26;136;6;9;72;25;18;76;24;695
Torms, els;Lleida;140;97;4;5;7;51;4;18;1;3;1;2;1;69;31;88
Tornabous;Lleida;600;468;11;7;12;252;13;113;4;9;13;28;6;78;22;450
Torre de Cabdella, la;Lleida;663;477;6;1;33;243;15;125;7;1;29;13;4;72;28;470
Torre-serona;Lleida;277;209;4;2;32;81;3;38;2;10;7;21;9;75;25;203
Torrebesses;Lleida;257;180;4;3;12;96;3;32;5;0;10;15;0;70;30;173
Torrefarrera;Lleida;2921;2139;49;17;215;977;112;358;30;103;26;206;46;73;27;2073
Torrefeta i Florejacs;Lleida;508;368;3;1;13;174;16;106;6;2;14;29;4;72;28;364
Torregrossa;Lleida;1628;1215;25;16;152;554;36;218;12;30;17;134;21;75;25;1174
Torrelameu;Lleida;513;412;4;10;17;230;11;80;2;0;9;43;6;80;20;398
Torres de Segre;Lleida;1466;1002;19;11;131;441;30;170;11;20;15;137;17;68;32;972
Tremp;Lleida;4500;2916;47;36;326;1352;142;522;29;44;89;274;55;65;35;2833
Vall de Boí, la;Lleida;813;558;10;6;32;250;33;158;4;2;33;18;12;69;31;542
Vall de Cardós;Lleida;309;222;3;8;13;107;1;47;1;6;12;22;2;72;28;211
Vallbona de les Monges;Lleida;227;174;10;1;2;89;13;32;7;0;7;9;4;77;23;163
Vallfogona de Balaguer;Lleida;1407;1034;24;14;89;464;32;180;24;26;24;134;23;73;27;996
Valls d`Aguilar, les;Lleida;241;168;1;4;14;71;10;46;0;4;7;11;0;70;30;163
Valls de Valira, les;Lleida;637;350;2;3;25;183;15;68;1;15;15;17;6;55;45;345
Vansa i Fórnols, la;Lleida;147;112;0;0;5;58;10;20;1;1;12;4;1;76;24;112
Verdú;Lleida;780;571;11;6;31;301;28;109;11;6;19;45;4;73;27;554
Vielha e Mijaran;Lleida;3436;2145;85;40;380;650;123;135;10;125;31;471;95;62;38;2020
Vila-sana;Lleida;533;388;6;5;19;204;13;69;8;5;13;42;4;73;27;377
Vilagrassa;Lleida;360;278;9;1;24;147;14;36;4;4;3;33;3;77;23;268
Vilaller;Lleida;437;313;8;3;59;112;19;46;1;13;6;29;17;72;28;302
Vilamòs;Lleida;130;64;0;2;10;25;1;6;0;4;1;12;3;49;51;62
Vilanova de Bellpuig;Lleida;911;737;4;7;23;417;23;164;21;2;36;32;8;81;19;726
Vilanova de l`Aguda;Lleida;203;145;2;2;0;75;0;51;2;0;1;11;1;71;29;141
Vilanova de la Barca;Lleida;759;558;8;14;81;236;20;105;5;14;6;60;9;74;26;536
Vilanova de Meià;Lleida;352;251;3;2;8;132;3;73;1;1;15;13;0;71;29;246
Vilanova de Segrià;Lleida;694;482;10;2;30;240;21;92;2;18;9;47;11;69;31;470
Vilosell, el;Lleida;162;140;0;0;1;80;9;28;2;5;8;7;0;86;14;140
Vinaixa;Lleida;466;369;9;6;30;159;9;77;5;13;23;32;6;79;21;354
